gene,essential,comment
PA14_66080,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_73170,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07520,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11550,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65660,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00090,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66720,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65600,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17150,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44660,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62760,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57220,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60370,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14440,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_49460,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08760,yes,"Manoil and Ausubel Overlap, 2005, LB"
